GEOID,ALAND,AWATER,INTPTLAT,INTPTLON,city,pop,perc_rent,perc_occ,housing_price,rent,rent_1br,under_10_p,over_65_p,median_age,white_p,black_p,native_amr_p,asian_p,hispanic_p,pov_p,no_hs_p,no_college_p,bach_degree_p,graduate_degree_p,med_hou_inc,km,pop_dens,res_tree,res_grass,street_tree,park_tree,park_grass,other_tree,other_grass,Shape_Area,land_area,res_treey,res_grassy,street_treey,park_treey,park_grassy,other_treey,other_grassy,total_treey,total_grassy,totally,median_year_built
36081029100,261476,0,40.7513358,-73.8951993,NYC,6490,0.652050345,0.347949655,363300,1559,1467,0.090909091,0.154545455,42.6,0.254545455,0.014329738,0.056099733,0.614946071,0.221571649,0.057903226,0.239397795,0.26187447,0.25466497,0.101357082,61281,0.261476,24820.63363,16114.22451,1670.753884,21752.7178,0,0,4262.389415,2770.673549,261460.3504,261476,0.06162793,0.006389703,0.083192025,0,0,0.016301264,0.010596282,0.161121218,0.016985985,0.178107204,1955
36081029300,151336,0,40.7519327,-73.899483,NYC,1123,0.586046512,0.413953488,770800,1964,1221,0.169189671,0.147818344,36.7,0.18699911,0.001780944,0,0.652715939,0.121994657,0.048085485,0.18705036,0.386091127,0.245803357,0.068345324,62167,0.151336,7420.574087,12041.31031,1618.567915,6914.239525,0,0,4622.071173,2176.556358,151329.5879,151336,0.079566728,0.010695194,0.045688002,0,0,0.030541782,0.014382278,0.155796512,0.025077472,0.180873984,1946
36081029400,1064504,0,40.6713239,-73.7810654,NYC,6919,0.503459503,0.496540497,514000,1705,,0.116779881,0.099002746,38.4,0.045237751,0.889868478,0,0.026448909,0.102905044,0.073664009,0.103755155,0.221185153,0.124593011,0.075103104,87885,1.064504,6499.740724,99759.50211,112720.8912,52540.83407,28014.23128,75256.18229,9959.491559,45148.08935,1064433.141,1064504,0.093714539,0.105890529,0.049357103,0.026316699,0.070696007,0.009355993,0.042412325,0.178744334,0.21899886,0.397743195,1964
36081029500,182968,0,40.755998,-73.9067306,NYC,3675,0.414243323,0.585756677,372900,1653,1595,0.089795918,0.145578231,39.5,0.443809524,0.011972789,0,0.333333333,0.245986395,0.079880044,0.119013062,0.21371553,0.250362845,0.155660377,74107,0.182968,20085.47943,33688.85331,5879.351607,12656.30189,289.0299848,0,5899.423134,2088.24164,182958.2344,182968,0.184124291,0.032133223,0.069172215,0.001579675,0,0.032242923,0.011413152,0.287119105,0.043546376,0.33066548,1939
36081029700,519215,0,40.7586829,-73.9030015,NYC,2006,0.587121212,0.412878788,788800,1907,1229,0.09670987,0.110667996,35.4,0.633100698,0.005982054,,0.261216351,0.397308076,0.051345962,0.112724758,0.313278008,0.24757953,0.072614108,73587,0.519215,3863.524744,31742.71808,5948.397659,14229.10672,8698.999681,8199.620096,52282.3128,8910.152142,519191.6564,519215,0.06113598,0.011456521,0.027405038,0.016754138,0.015792341,0.10069492,0.017160814,0.205990076,0.044409676,0.250399752,1956
36081030600,1353391,0,40.6648787,-73.7804012,NYC,4983,0.429512516,0.570487484,473500,1678,918,0.160144491,0.134256472,34.8,0.05017058,0.79149107,0,0.043748746,0.112783464,0.120972771,0.089504185,0.335479717,0.169027688,0.093045718,94653,1.353391,3681.862817,69255.59866,75793.29634,46545.87047,14240.34678,12267.71713,116475.0696,139131.0061,1353297.336,1353391,0.051171907,0.056002512,0.034392035,0.010521975,0.009064429,0.086061655,0.102801782,0.182147573,0.167868724,0.350016296,1952
36081030903,351702,0,40.7579485,-73.8900649,NYC,5356,0.579695929,0.420304071,750700,1822,1661,0.094473488,0.159820762,40.6,0.247012696,0.042008962,0.012495537,0.424383869,0.440067214,0.052808989,0.183176101,0.332809224,0.197327044,0.106656184,76250,0.351702,15228.80166,31957.88485,5004.233042,27860.88481,0,0,3148.821112,5265.965751,351683.3403,351702,0.090866372,0.014228617,0.079217306,0,0,0.008953094,0.014972806,0.179036772,0.029201423,0.208238195,1952
36081030904,414419,0,40.7635831,-73.8910547,NYC,2801,0.623613312,0.376386688,640600,1365,,0.074973224,0.191003213,44.4,0.456622635,0.00535523,0.026288118,0.275972867,0.412709747,0.083184577,0.197559831,0.351947443,0.174096668,0.064289066,69391,0.414419,6758.859994,32987.15274,8128.968322,36128.7481,18273.92079,16346.25136,18466.60744,13773.08164,414394.417,414419,0.079598553,0.019615337,0.087179275,0.044095277,0.039443779,0.044560234,0.033234677,0.255433339,0.092293793,0.347727132,1963
36081030905,193761,0,40.7600116,-73.8960739,NYC,2853,0.650477016,0.349522984,918600,1878,,0.113564669,0.137048721,34.1,0.33788994,0.023484052,0.061557402,0.344199089,0.466175955,0.159646018,0.183927561,0.388794567,0.142614601,0.143746463,73721,0.193761,14724.32533,24011.16599,9570.103941,19320.04876,0,0,2307.422712,3917.159155,193750.7752,193761,0.123921563,0.049391281,0.09971072,0,0,0.011908602,0.020216448,0.235540885,0.069607729,0.305148614,1962
36081030906,216946,0,40.7563165,-73.8962348,NYC,3249,0.735660848,0.264339152,716200,1474,1352,0.048630348,0.195444752,42.1,0.442289935,0.05663281,0,0.454293629,0.25854109,0.111905502,0.171281646,0.316060127,0.1875,0.065268987,60275,0.216946,14976.077,27075.68669,9820.596594,20605.42933,0,0,4391.650047,4178.891863,216936.0056,216946,0.124803807,0.04526747,0.094979531,0,0,0.020243056,0.01926236,0.240026394,0.06452983,0.304556224,1960
36081031700,767638,0,40.7709218,-73.8930421,NYC,5216,0.505931879,0.494068121,600200,1815,1924,0.087423313,0.186733129,41.6,0.832630368,0.108128834,0,0.046779141,0.109470859,0.025226266,0.151430742,0.277538617,0.238541403,0.135983793,65804,0.767638,6794.869457,86759.57568,14775.85511,56736.58601,3688.34375,2960.148761,94085.68294,48839.64454,766443.7179,767638,0.113021471,0.019248468,0.073910601,0.004804796,0.003856178,0.122565171,0.063623276,0.314302039,0.086727922,0.40102996,1954
