Geography,city,pop_o16,med_hou_inc_1999,total_pop,Shape_Length,Shape_Area,asian,black,hispanic,white,pop,pop_dens_area,rent_t,rent_occ
24510010300,Baltimore,1574,33250,1746,3391.558537,684340.2,0,0,0,0.954753723,1746,0.002551363,315,0.327102804
24510271400,Baltimore,3024,67107,3665,6348.619486,1715333.579,0,0,0,0.895497954,3665,0.002136611,553,0.332531569
24510280401,Baltimore,2774,41667,3507,6476.198222,1638614.223,0,0.818933561,0,0.163957799,3507,0.002140223,495,0.333782873
24510271300,Baltimore,2214,71771,2691,7559.436573,2860692.645,0,0,0,0.892976589,2691,0.000940681,400,0.337837838
24510261100,Baltimore,1488,30028,1819,2465.793524,219765.6447,0,0,0,0.910390324,1819,0.008276999,300,0.342075257
24510080302,Baltimore,2619,29504,3404,2672.476153,439514.7438,0,0.975029377,0,0,3404,0.007744905,433,0.344197138
24510070100,Baltimore,2116,27412,3021,2196.651856,290620.5564,0,0.863621317,0,0.094670639,3021,0.010394998,313,0.345474614
24510090100,Baltimore,3427,32243,4435,3668.812267,658075.0297,0,0.889289741,0,0.09470124,4435,0.006739353,587,0.354254677
24510151100,Baltimore,5260,35219,6543,5544.662356,1698736.31,0,0.985327831,0,0,6543,0.003851687,982,0.357090909
24510261000,Baltimore,2377,25212,3100,3110.842085,310009.5925,0,0.428064516,0,0.503548387,3100,0.009999691,400,0.357142857
24510271501,Baltimore,3370,63885,4132,8158.197,3617024.189,0,0.091481123,0,0.847531462,4132,0.001142376,676,0.35862069
24510271002,Baltimore,3411,33792,4466,3929.044649,955624.0694,0,0.959471563,0,0,4466,0.004673386,574,0.35942392
24510260700,Baltimore,1568,24271,2007,4096.243531,759697.4154,0,0,0,0.73143996,2007,0.002641841,286,0.360655738
24510200600,Baltimore,2188,30000,2863,6466.130336,1801370.654,0,0.624869019,0,0.32832693,2863,0.001589345,382,0.362085308
24510240200,Baltimore,1809,77340,2078,3749.45943,746985.3267,0,0,0,0.961501444,2078,0.002781848,395,0.363385465
24510130804,Baltimore,1655,28594,2041,3775.302871,739521.2143,0,0,0,0.928956394,2041,0.002759894,333,0.365934066
24510260101,Baltimore,3632,35268,4636,5962.114548,1633162.287,0,0.411345988,0,0.559318378,4636,0.002838665,715,0.369509044
24510160700,Baltimore,4704,26200,6180,4865.456541,966320.7238,0,0.981877023,0,0,6180,0.006395392,778,0.3695962
24510150300,Baltimore,2126,26411,2898,2599.411848,399151.6901,0,0.993443754,0,0,2898,0.007260398,373,0.373
24510160500,Baltimore,3663,26267,4887,4534.451811,1034594.378,0,0.984448537,0,0,4887,0.00472359,671,0.373400111
24510260605,Baltimore,3603,33141,4284,21768.12276,17064126.68,0,0.128384687,0,0.778711485,4284,0.000251053,691,0.385602679
24510250101,Baltimore,2663,32276,3678,4530.845206,962737.0064,0,0.84148994,0,0.135127787,3678,0.003820358,534,0.388646288
24510130806,Baltimore,920,37222,1111,6074.144331,1402625.362,0,0,0,0.742574257,1111,0.000792086,174,0.389261745
24510160801,Baltimore,2653,33105,3533,2798.416121,389621.1713,0,0.994339089,0,0,3533,0.009067782,496,0.389324961
24510090600,Baltimore,3063,30680,4083,2786.669817,399535.4895,0,0.96889542,0,0,4083,0.010219368,467,0.391450126
24510240300,Baltimore,1983,53917,2083,1961.146921,200555.1314,0,0,0,0.869419107,2083,0.010386172,414,0.393536122
24510200200,Baltimore,2611,26949,3413,4488.035496,928213.6043,0,0.986815119,0,0,3413,0.003676955,457,0.394987035
24510130600,Baltimore,3141,38094,3831,4458.240898,876839.7879,0,0,0,0.90394153,3831,0.004369099,673,0.404933815
24510272003,Baltimore,3890,48772,5459,6892.820912,1926607.091,0,0.310496428,0,0.676314343,5459,0.002833479,842,0.405587669
24510280102,Baltimore,4979,35244,6290,8578.42254,3497167.557,0,0.956438792,0,0,6290,0.001798598,974,0.407190635
24510130803,Baltimore,2291,35000,2760,3301.190007,693105.9409,0,0.104710145,0,0.814130435,2760,0.003982075,546,0.408988764
24510230200,Baltimore,2018,44414,2335,2597.95748,217585.6413,0,0,0,0.905781585,2335,0.010731407,432,0.411820782
24510270903,Baltimore,4659,43194,5256,5432.437467,1088871.501,0,0.881659056,0,0.079528158,5256,0.004827016,549,0.412162162
24510060100,Baltimore,2294,30461,3443,1968.02609,238709.3213,0,0.582340982,0,0.309904153,3443,0.0144234,444,0.423664122
24510250401,Baltimore,2670,36188,3478,5242.604448,1207615.329,0,0,0,0.807360552,3478,0.002880056,579,0.4238653
24510270901,Baltimore,3319,31778,4299,3551.706859,677523.9724,0,0.932077227,0,0,4299,0.006345163,714,0.427033493
24510250301,Baltimore,945,26650,1237,7116.579443,1442042.041,0,0.789005659,0,0,1237,0.000857811,175,0.433168317
24510250102,Baltimore,2441,32199,3247,3567.444688,738053.5824,0,0.82907299,0,0,3247,0.00439941,546,0.434022258
24510260203,Baltimore,2080,36385,2873,5592.659135,890647.1735,0,0.895927602,0,0,2873,0.003225744,436,0.434695912
24510080301,Baltimore,1925,21385,2598,2197.156858,268596.3198,0,0.994226328,0,0,2598,0.009672508,373,0.438307873
24510250103,Baltimore,3241,30000,4012,8530.685646,2584843.681,0,0.117896311,0,0.857676969,4012,0.001552125,778,0.441794435
24510200800,Baltimore,1887,26628,2481,4766.446468,1067209.326,0,0.735993551,0,0.204353083,2481,0.002324755,399,0.444320713
24510280101,Baltimore,2689,33512,3424,9039.767841,1403393.857,0,0.882009346,0,0,3424,0.0024398,613,0.446467589
24510250205,Baltimore,3036,33405,4369,9684.379257,2326577.989,0,0.541542687,0,0.421606775,4369,0.001877865,707,0.450892857
24510230300,Baltimore,1039,31641,1318,7168.860227,2017153.507,0,0,0,0.979514416,1318,0.000653396,231,0.451171875
24510271801,Baltimore,2778,23409,3633,3167.897566,557940.6866,0,0.939168731,0,0,3633,0.006511445,645,0.456152758
24510271001,Baltimore,1974,27269,2688,3032.238585,503734.6143,0,0.980654762,0,0,2688,0.005336143,462,0.463855422
24510100100,Baltimore,1684,30446,2483,2471.552957,326990.2009,0,0.991945228,0,0,2483,0.0075935,347,0.464524766
24510210100,Baltimore,1802,23877,2252,6303.182976,1500854.212,0,0.560834813,0,0.404529307,2252,0.001500479,402,0.466357309
24510271700,Baltimore,4705,30000,6039,5666.355869,1734045.799,0,0.918363968,0,0.068554396,6039,0.003482607,1033,0.466576332
24510090700,Baltimore,2769,25384,3839,2859.554363,437179.0086,0,0.95024746,0,0,3839,0.0087813,589,0.467460317
